street,city,state,zip,full_address,price,price_num,beds,baths,sqft,price_per_sqft,lot_sqft,year_built,garage_spaces,sewer_type,tax_annual,hoa_fee,commute_minutes,school_district,school_rating,orientation,distance_to_grocery_miles,distance_to_highway_miles,solar_status,solar_lease_monthly,has_pool,pool_equipment_age,roof_age,hvac_age,kitchen_layout_score,master_suite_score,natural_light_score,high_ceilings_score,fireplace_present,laundry_area_score,aesthetics_score,backyard_utility_score,safety_neighborhood_score,parks_walkability_score,score_location,score_lot_systems,score_interior,total_score,tier,kill_switch_passed,kill_switch_failures,latitude,longitude
4417 W Sandra Cir,Glendale,AZ,85308,"4417 W Sandra Cir, Glendale, AZ 85308","$354,000",354000,4,2.0,1730,204.62,9148,1974,2,city,1750,0,35,Deer Valley Unified District,8.4,north,1.2,2.5,owned,,true,1,1,3,,,,,,,,,,,170.0,128.0,95.0,393,contender,true,,,
2353 W Tierra Buena Ln,Phoenix,AZ,85023,"2353 W Tierra Buena Ln, Phoenix, AZ 85023","$499,900",499900,4,2.0,1752,285.33,8580,1974,2,city,2100,0,18,Phoenix Elementary District / Alhambra Elementary District,8.6,north,0.8,1.5,,,true,1,1,3,,,,,,,,,,,165.0,123.6,95.0,383,contender,true,,,
4732 W Davis Rd,Glendale,AZ,85306,"4732 W Davis Rd, Glendale, AZ 85306","$475,000",475000,4,2.0,2241,211.96,8069,1978,2,city,1850,0,35,Deer Valley Unified District,8.1,south,1.2,2.5,,,true,2,2,4,,,,,,,,,,,156.5,126.4,95.0,377,contender,true,,,
4136 W Hearn Rd,Phoenix,AZ,85053,"4136 W Hearn Rd, Phoenix, AZ 85053","$457,000",457000,4,3.0,2228,205.12,10890,1973,2,city,1900,0,22,Washington Elementary District / Paradise Valley Unified District,8.0,south,1.1,1.6,,,true,2,2,4,,,,,,,,,,,144.0,128.0,95.0,367,contender,true,,,
2344 W Marconi Ave,Phoenix,AZ,85023,"2344 W Marconi Ave, Phoenix, AZ 85023","$560,000",560000,4,3.0,2048,273.44,10454,1974,2,city,2350,0,18,Phoenix Elementary District / Alhambra Elementary District,8.6,south,0.8,1.5,owned,,true,1,1,3,,,,,,,,,,,153.0,117.3,95.0,365,contender,true,,,
4020 W Anderson Dr,Glendale,AZ,85308,"4020 W Anderson Dr, Glendale, AZ 85308","$479,900",479900,4,2.0,1882,254.99,7841,1985,2,city,1950,0,38,Deer Valley Unified District,8.4,north,1.4,2.5,,,true,,20,4,,,,,,,,,,,170.0,98.8,95.0,363,contender,true,,,
2846 W Villa Rita Dr,Phoenix,AZ,85053,"2846 W Villa Rita Dr, Phoenix, AZ 85053","$540,000",540000,5,3.0,2076,260.12,7841,1984,2,city,2200,0,22,Washington Elementary District / Paradise Valley Unified District,8.0,north,1.0,1.8,,,true,1,10,5,,,,,,,,,,,156.0,112.5,95.0,363,contender,true,,,
4209 W Wahalla Ln,Glendale,AZ,85308,"4209 W Wahalla Ln, Glendale, AZ 85308","$625,000",625000,4,2.0,2349,266.07,9148,1994,3,city,2600,0,40,Deer Valley Unified District,8.4,north,1.5,3.0,,,true,1,11,7,,,,,,,,,,,164.0,101.5,95.0,360,contender,true,,,
5522 W Carol Ave,Glendale,AZ,85302,"5522 W Carol Ave, Glendale, AZ 85302","$442,000",442000,5,3.0,2139,206.64,9583,1960,2,city,1700,0,32,Glendale Union High School District / Glendale Elementary District,6.7,south,0.7,2.0,,,true,5,10,5,,,,,,,,,,,155.5,107.0,95.0,357,pass,true,,,
20021 N 38th Ln,Glendale,AZ,85308,"20021 N 38th Ln, Glendale, AZ 85308","$545,000",545000,4,3.0,2627,207.46,10019,1997,3,city,2350,0,25,Deer Valley Unified District,8.4,east,1.0,1.2,,,true,8,8,4,,,,,,,,,,,150.5,109.8,95.0,355,pass,true,,,
8931 W Villa Rita Dr,Peoria,AZ,85382,"8931 W Villa Rita Dr, Peoria, AZ 85382","$549,900",549900,5,2.5,2672,205.80,7119,1997,2,city,1949,0,25,Peoria Unified School District,7.0,east,0.5,1.5,none,,true,8,8,4,,,,,,,,,,,149.5,109.8,95.0,354,pass,true,,,
12808 N 27th St,Phoenix,AZ,85032,"12808 N 27th St, Phoenix, AZ 85032","$509,000",509000,4,2.0,1909,266.63,6900,1972,2,city,2100,0,10,Paradise Valley Unified District,8.8,unknown,0.9,0.6,,,false,,3,5,,,,,,,,,,,143.0,114.6,95.0,352,pass,true,"Lot too small: 6,900 sqft (buyer requires 7,000+ sqft)",,
14622 N 37th St,Phoenix,AZ,85032,"14622 N 37th St, Phoenix, AZ 85032","$510,000",510000,4,2.0,1350,377.78,6913,1972,2,city,2100,0,8,Paradise Valley Unified District,8.8,unknown,0.8,0.5,,,false,,3,5,,,,,,,,,,,143.0,114.5,95.0,352,pass,true,"Lot too small: 6,913 sqft (buyer requires 7,000+ sqft)",,
16814 N 31st Ave,Phoenix,AZ,85053,"16814 N 31st Ave, Phoenix, AZ 85053","$400,000",400000,4,2.0,1921,208.22,8152,1979,2,city,1800,0,18,Washington Elementary District / Paradise Valley Unified District,8.0,east,1.0,1.2,leased,,true,6,10,10,,,,,,,,,,,148.5,107.0,95.0,350,pass,true,,,
4001 W Libby St,Glendale,AZ,85308,"4001 W Libby St, Glendale, AZ 85308","$458,000",458000,4,2.0,1873,244.53,7405,1986,2,city,1850,0,38,Deer Valley Unified District,8.4,east,1.3,2.8,,,true,9,19,3,,,,,,,,,,,162.5,91.0,95.0,348,pass,true,,,
14014 N 39th Ave,Phoenix,AZ,85053,"14014 N 39th Ave, Phoenix, AZ 85053","$495,000",495000,4,2.0,1930,256.48,8712,1979,2,city,2050,0,20,Washington Elementary District / Paradise Valley Unified District,8.0,south,0.9,1.5,,,true,6,10,10,,,,,,,,,,,150.0,103.2,95.0,348,pass,true,,,
13307 N 84th Ave,Peoria,AZ,85381,"13307 N 84th Ave, Peoria, AZ 85381","$490,000",490000,4,3.0,2052,238.79,8276,1986,2,city,1950,0,50,Peoria Unified School District,8.2,east,1.0,4.0,,,true,9,19,3,,,,,,,,,,,161.5,87.8,95.0,344,pass,true,,,
5004 W Kaler Dr,Glendale,AZ,85301,"5004 W Kaler Dr, Glendale, AZ 85301","$459,900",459900,4,4.0,2405,191.23,11761,1958,2,city,1800,0,30,Laveen Elementary District,4.8,north,0.5,1.8,,,true,7,10,7,,,,,,,,,,,146.0,103.0,95.0,343,pass,true,,,
9150 W Villa Rita Dr,Peoria,AZ,85382,"9150 W Villa Rita Dr, Peoria, AZ 85382","$605,000",605000,4,3.0,1919,315.27,6534,1997,2,city,1481,0,25,Peoria Unified School District,8.0,unknown,1.5,1.5,,,false,,8,4,,,,,,,,,,,135.0,106.8,95.0,336,pass,true,"Lot too small: 6,534 sqft (buyer requires 7,000+ sqft)",,
8426 E Lincoln Dr,Scottsdale,AZ,85250,"8426 E Lincoln Dr, Scottsdale, AZ 85250","$849,900",849900,4,2.5,2373,358.15,7691,1966,2,city,1838,0,18,Scottsdale Unified District,7.3,south,0.4,1.2,none,,true,9,,5,,,,,,,,,,,152.5,88.0,95.0,335,pass,true,,,
4342 W Claremont St,Glendale,AZ,85301,"4342 W Claremont St, Glendale, AZ 85301","$514,800",514800,5,3.0,2160,238.33,10454,1957,2,city,1950,0,28,Laveen Elementary District,4.8,south,0.6,1.5,,,true,8,10,8,,,,,,,,,,,134.0,97.3,95.0,326,pass,true,,,
7126 W Columbine Dr,Peoria,AZ,85381,"7126 W Columbine Dr, Peoria, AZ 85381","$565,000",565000,4,2.0,2459,229.77,8407,1987,2,city,1481,0,25,Peoria Unified School District,8.0,south,0.5,1.5,none,,true,8,18,2,,,,,,,,,,,150.0,80.9,95.0,325,pass,true,,,
5038 W Echo Ln,Glendale,AZ,85302,"5038 W Echo Ln, Glendale, AZ 85302","$634,000",634000,6,3.0,2813,225.38,10115,1976,1,city,,0,32,Glendale Elementary District,6.0,south,0.7,2.0,none,,true,,,,,,,,,,,,,,152.0,77.8,95.0,324,pass,true,Only 1-car garage (buyer requires 2+),,
14353 N 76th Dr,Peoria,AZ,85381,"14353 N 76th Dr, Peoria, AZ 85381","$550,000",550000,4,2.0,1700,323.53,7600,1990,2,city,1600,0,28,Peoria Unified School District,6.0,east,2.5,1.5,,,false,,15,11,,,,,,,,,,,126.5,102.1,95.0,323,pass,true,,,
8714 E Plaza Ave,Scottsdale,AZ,85250,"8714 E Plaza Ave, Scottsdale, AZ 85250","$750,000",750000,4,2.0,1620,462.96,6712,1961,2,city,1842,0,12,Scottsdale Unified District,7.3,unknown,0.6,0.8,none,,true,4,5,5,,,,,,,,,,,135.5,93.0,95.0,323,pass,true,"Lot too small: 6,712 sqft (buyer requires 7,000+ sqft)",,
7233 W Corrine Dr,Peoria,AZ,85381,"7233 W Corrine Dr, Peoria, AZ 85381","$749,999",749999,4,3.0,1982,378.41,8912,1987,2,city,1600,0,23,Peoria Unified School District,8.0,north,0.5,1.5,owned,,true,8,18,2,,,,,,,,,,,162.0,62.3,95.0,319,pass,true,,,
15225 N 37th Way,Phoenix,AZ,85032,"15225 N 37th Way, Phoenix, AZ 85032","$565,000",565000,4,2.0,1748,323.23,8100,1978,2,city,2400,0,10,Paradise Valley Unified District,8.8,west,0.6,0.8,,,true,7,10,11,,,,,,,,,,,128.0,91.7,95.0,314,pass,true,,,
11035 E Clinton St,Scottsdale,AZ,85259,"11035 E Clinton St, Scottsdale, AZ 85259","$775,000",775000,4,2.0,1971,393.20,6978,1985,2,city,1969,0,15,Scottsdale Unified District,8.3,unknown,0.7,1.5,none,,true,,20,,,,,,,,,,,,148.5,71.0,95.0,314,pass,true,"Lot too small: 6,978 sqft (buyer requires 7,000+ sqft)",,
8803 N 105th Dr,Peoria,AZ,85345,"8803 N 105th Dr, Peoria, AZ 85345","$509,000",509000,4,2.0,2225,228.76,13512,1976,2,city,977,0,32,Peoria Unified School District,4.0,south,1.5,1.5,none,,true,9,10,1,,,,,,,,,,,118.0,99.1,95.0,312,pass,true,,,
18820 N 35th Way,Phoenix,AZ,85050,"18820 N 35th Way, Phoenix, AZ 85050","$582,000",582000,4,3.0,1972,295.13,6098,2000,2,city,2500,85,5,Paradise Valley Unified District,8.3,unknown,0.5,0.3,,,true,,5,1,,,,,,,,,,,,,,,,false,"HOA fee: $85/month (buyer requires NO HOA);Lot too small: 6,098 sqft (buyer requires 7,000+ sqft)",,
4137 W Cielo Grande,Glendale,AZ,85310,"4137 W Cielo Grande, Glendale, AZ 85310","$519,900",519900,4,2.0,2125,244.66,7405,2000,2,city,2150,45,45,Deer Valley Unified District,8.2,unknown,1.8,2.0,,,true,5,5,1,,,,,,,,,,,,,,,,false,HOA fee: $45/month (buyer requires NO HOA),,
