rank,address,kill_switch_passed,tier,total_score,list_price,roof_cost,hvac_cost,pool_cost,plumbing_cost,kitchen_cost,total_renovation,true_cost,price_delta_pct
1,"8426 E Lincoln Dr, Scottsdale, AZ 85250",PASS,Contender,382.5,849900.0,0,0,5000,10000,15000,30000,879900.0,3.5298270384751147
2,"4209 W Wahalla Ln, Glendale, AZ 85308",PASS,Contender,382.0,625000.0,8000,4000,5000,2000,0,19000,644000.0,3.04
3,"13307 N 84th Ave, Peoria, AZ 85381",PASS,Contender,381.0,490000.0,8000,4000,5000,5000,15000,37000,527000.0,7.551020408163265
4,"20021 N 38th Ln, Glendale, AZ 85308",PASS,Contender,375.0,545000.0,8000,4000,5000,2000,0,19000,564000.0,3.486238532110092
5,"4137 W Cielo Grande, Glendale, AZ 85310",FAIL,Contender,374.0,519900.0,8000,4000,5000,0,0,17000,536900.0,3.269859588382381
6,"4001 W Libby St, Glendale, AZ 85308",PASS,Contender,374.0,458000.0,8000,4000,5000,5000,15000,37000,495000.0,8.078602620087336
7,"4020 W Anderson Dr, Glendale, AZ 85308",PASS,Contender,374.0,479900.0,8000,4000,5000,5000,15000,37000,516900.0,7.709939570743905
8,"8714 E Plaza Ave, Scottsdale, AZ 85250",FAIL,Contender,372.5,750000.0,0,0,5000,10000,15000,30000,780000.0,4.0
9,"4417 W Sandra Cir, Glendale, AZ 85308",PASS,Contender,370.0,415000.0,8000,4000,5000,10000,15000,42000,457000.0,10.120481927710843
10,"4732 W Davis Rd, Glendale, AZ 85306",PASS,Contender,368.5,475000.0,8000,4000,5000,10000,15000,42000,517000.0,8.842105263157894
11,"8931 W Villa Rita Dr, Peoria, AZ 85382",PASS,Contender,368.0,549900.0,8000,4000,5000,2000,0,19000,568900.0,3.455173667939625
12,"25841 N 66th Dr, Phoenix, AZ 85083",FAIL,Contender,366.5,499777.0,8000,4000,0,0,0,12000,511777.0,2.401070877611415
13,"11035 E Clinton St, Scottsdale, AZ 85259",FAIL,Contender,366.5,775000.0,8000,0,5000,5000,15000,33000,808000.0,4.258064516129032
14,"2846 W Villa Rita Dr, Phoenix, AZ 85053",PASS,Contender,365.0,540000.0,8000,4000,5000,5000,15000,37000,577000.0,6.851851851851852
15,"7126 W Columbine Dr, Peoria, AZ 85381",PASS,Contender,365.0,565000.0,8000,4000,5000,5000,15000,37000,602000.0,6.548672566371681
16,"7233 W Corrine Dr, Peoria, AZ 85381",PASS,Contender,365.0,749999.0,8000,4000,5000,5000,15000,37000,786999.0,4.933339911119881
17,"9150 W Villa Rita Dr, Peoria, AZ 85382",FAIL,Contender,365.0,605000.0,8000,4000,0,2000,0,14000,619000.0,2.3140495867768593
18,"2353 W Tierra Buena Ln, Phoenix, AZ 85023",PASS,Contender,364.0,499900.0,8000,4000,5000,10000,15000,42000,541900.0,8.401680336067214
19,"2344 W Marconi Ave, Phoenix, AZ 85023",PASS,Contender,364.0,560000.0,8000,4000,5000,10000,15000,42000,602000.0,7.5
20,"17244 N 36th Ln, Glendale, AZ 85308",FAIL,Contender,363.0,425000.0,8000,4000,5000,10000,15000,42000,467000.0,9.88235294117647
21,"14014 N 39th Ave, Phoenix, AZ 85053",PASS,Contender,361.0,495000.0,8000,4000,5000,10000,15000,42000,537000.0,8.484848484848486
22,"16814 N 31st Ave, Phoenix, AZ 85053",PASS,Contender,361.0,400000.0,8000,4000,5000,10000,15000,42000,442000.0,10.5
23,"15225 N 37th Way, Phoenix, AZ 85032",PASS,Contender,355.0,565000.0,8000,4000,5000,10000,15000,42000,607000.0,7.433628318584071
24,"12808 N 27th St, Phoenix, AZ 85032",FAIL,Contender,355.0,509000.0,8000,4000,0,10000,15000,37000,546000.0,7.269155206286837
25,"5522 W Carol Ave, Glendale, AZ 85302",PASS,Contender,354.5,442000.0,8000,4000,5000,10000,15000,42000,484000.0,9.502262443438914
26,"4136 W Hearn Rd, Phoenix, AZ 85053",PASS,Contender,353.0,457000.0,8000,4000,5000,10000,15000,42000,499000.0,9.190371991247265
27,"18820 N 35th Way, Phoenix, AZ 85050",FAIL,Contender,350.5,582000.0,8000,4000,0,0,0,12000,594000.0,2.0618556701030926
28,"14353 N 76th Dr, Peoria, AZ 85381",PASS,Contender,347.0,550000.0,8000,4000,0,2000,0,14000,564000.0,2.5454545454545454
29,"5004 W Kaler Dr, Glendale, AZ 85301",PASS,Contender,345.0,459900.0,8000,4000,5000,10000,15000,42000,501900.0,9.1324200913242
30,"4342 W Claremont St, Glendale, AZ 85301",PASS,Contender,345.0,514800.0,8000,4000,5000,10000,15000,42000,556800.0,8.158508158508159
31,"14622 N 37th St, Phoenix, AZ 85032",FAIL,Contender,345.0,510000.0,8000,4000,0,10000,15000,37000,547000.0,7.254901960784315
32,"18825 N 34th St, Phoenix, AZ 85050",FAIL,Contender,342.5,550000.0,8000,4000,0,2000,0,14000,564000.0,2.5454545454545454
33,"8803 N 105th Dr, Peoria, AZ 85345",PASS,Contender,333.0,509000.0,8000,4000,5000,10000,15000,42000,551000.0,8.25147347740668
